Altium Designer Pick and Place Locations
F:\Fully_Autonomous_MAV_YanQi_V4.0\YanQi_PCB_Project\FlightControlBoard\Project Outputs for FlightControlBoard\Pick Place for FlightControlBoard.csv

========================================================================================================================
File Design Information:

Date:       06/03/25
Time:       22:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J5","SM04B-XSRS-ETB(LF)(SN)","TopLayer","CONN-SMD_4P-P0.6","539.370","1515.748","180",""
"J1","SM06B-XSRS-ETB(LF)(SN)","TopLayer","CONN-SMD_6P-P0.6","322.835","1515.748","180",""
"J3","SM04B-XSRS-ETB(LF)(SN)","TopLayer","CONN-SMD_4P-P0.6","728.346","1515.748","180",""
"J4","ZX-SH1.0-4PWT","BottomLayer","ELRSPAD","511.811","1653.543","180",""
"J2","SM06B-XSRS-ETB(LF)(SN)","BottomLayer","CONN-SMD_6P-P0.6","511.811","98.425","180",""
"J6","SM04B-XSRS-ETB(LF)(SN)","TopLayer","CONN-SMD_4P-P0.6","94.488","976.378","270",""
"P30","BurnPad","BottomLayer","BurnPad_0.5mm","295.276","1051.181","90",""
"C70","22uF","BottomLayer","C0805","787.402","1492.126","90",""
"C69","22uF","BottomLayer","C0805","720.472","1043.307","180",""
"C68","22uF","BottomLayer","C0805","236.220","1492.126","90",""
"C66","22uF","BottomLayer","C0805","307.087","1492.126","90",""
"C64","22uF","BottomLayer","C0805","716.535","1492.126","90",""
"R5","10k次","TopLayer","R0201","657.480","814.961","180",""
"R4","10k次","TopLayer","R0201","657.480","834.646","180",""
"R3","10k次","TopLayer","R0201","657.480","854.331","180",""
"C62","22uF","TopLayer","C0805","866.142","492.126","180",""
"C60","22uF","TopLayer","C0805","866.142","255.905","180",""
"C54","22uF","BottomLayer","C0805","157.480","492.126","0",""
"C56","22uF","TopLayer","C0805","157.475","1358.268","0",""
"C58","22uF","TopLayer","C0805","157.480","1122.047","0",""
"C67","22uF","BottomLayer","C0805","157.480","255.905","0",""
"D14","1N5819WS","BottomLayer","SOD-323","716.535","578.740","0",""
"D13","1N5819WS","BottomLayer","SOD-323","314.961","108.268","0",""
"P23","MotorPad","TopLayer","MOTOR_HALF_HOLE","31.496","1240.158","0",""
"P18","MotorPad","TopLayer","MOTOR_HALF_HOLE","31.496","1358.268","0",""
"P17","MotorPad","TopLayer","MOTOR_HALF_HOLE","31.496","1122.047","0",""
"P22","MotorPad","TopLayer","MOTOR_HALF_HOLE","31.496","492.126","0",""
"P21","MotorPad","TopLayer","MOTOR_HALF_HOLE","31.496","255.905","0",""
"P16","MotorPad","TopLayer","MOTOR_HALF_HOLE","31.496","374.016","0",""
"P20","MotorPad","TopLayer","MOTOR_HALF_HOLE","992.126","1240.158","0",""
"P15","MotorPad","TopLayer","MOTOR_HALF_HOLE","992.126","1122.047","0",""
"P14","MotorPad","TopLayer","MOTOR_HALF_HOLE","992.126","1358.268","0",""
"P25","MotorPad","TopLayer","MOTOR_HALF_HOLE","992.126","255.905","0",""
"P24","MotorPad","TopLayer","MOTOR_HALF_HOLE","992.126","492.126","0",""
"P19","MotorPad","TopLayer","MOTOR_HALF_HOLE","992.126","374.016","0",""
"P28","Power_Pad","TopLayer","POWER_HALF_HOLE","992.126","748.032","0",""
"X1","X1G004171002700","TopLayer","OSC-SMD_4P-L2.5-W2.0-BL","602.362","559.055","0",""
"U17","INA199A1DCKR","TopLayer","SOT-323-6","582.677","1023.622","180",""
"U16","RT9013-33GB","TopLayer","SOT-23-5","149.606","673.228","270",""
"U15","RT9013-33GB","TopLayer","SOT-23-5","149.606","811.024","270",""
"U14","MP2225GJ-Z","TopLayer","SOT-23-8","740.158","661.417","270",""
"U13","MP2225GJ-Z","TopLayer","SOT-23-8","775.591","952.756","90",""
"U12","BMP388","BottomLayer","LGA-10","582.677","555.118","270",""
"U11","BMI088","TopLayer","LGA-16_L4.5-W3.0-P0.50-BL","314.961","108.268","270",""
"U10","BMI088","TopLayer","LGA-16_L4.5-W3.0-P0.50-BL","708.661","108.268","270",""
"U9","FD6288Q","TopLayer","QFN-24_L4.0-W4.0-P0.50-BL-EP2.6","606.299","393.701","270",""
"U8","FD6288Q","TopLayer","QFN-24_L4.0-W4.0-P0.50-BL-EP2.6","417.323","1220.472","90",""
"U7","FD6288Q","TopLayer","QFN-24_L4.0-W4.0-P0.50-BL-EP2.6","417.323","374.016","90",""
"U6","FD6288Q","TopLayer","QFN-24_L4.0-W4.0-P0.50-BL-EP2.6","606.299","1240.157","270",""
"U5","EFM8BB21F16G","BottomLayer","QFN-20_L3.0-W3.0-P0.50-BL-EP1.7_EFM8BB21F16G","625.984","393.701","180",""
"U4","EFM8BB21F16G","BottomLayer","QFN-20_L3.0-W3.0-P0.50-BL-EP1.7_EFM8BB21F16G","397.638","1220.472","0",""
"U3","EFM8BB21F16G","BottomLayer","QFN-20_L3.0-W3.0-P0.50-BL-EP1.7_EFM8BB21F16G","397.638","374.016","0",""
"U2","EFM8BB21F16G","BottomLayer","QFN-20_L3.0-W3.0-P0.50-BL-EP1.7_EFM8BB21F16G","625.984","1240.157","180",""
"U1","STM32H743VIH6","TopLayer","BGA-100_L8.0-W8.0-P0.80-R10-C10-BL","472.441","787.402","90",""
"SD1","TF-027-H300","BottomLayer","TF-SMD_HYCW104-TF08-375B","165.354","787.402","90",""
"R96","10m次","BottomLayer","R0805","897.638","964.567","270",""
"R95","56次","TopLayer","R0201","659.449","1049.213","0",""
"R94","100k次","TopLayer","R0201","698.819","1023.622","180",""
"R93","10k次","TopLayer","R0201","698.819","1049.213","0",""
"R92","100k次","TopLayer","R0201","834.646","645.669","0",""
"R91","100k次","TopLayer","R0201","657.480","952.756","180",""
"R90","74k次","TopLayer","R0201","834.646","716.535","0",""
"R89","140k次","TopLayer","R0201","744.095","881.890","0",""
"R88","10k次","TopLayer","R0201","834.646","692.913","180",""
"R87","10k次","TopLayer","R0201","700.787","881.890","0",""
"R86","22次","BottomLayer","R0201","501.969","218.504","90",""
"R85","22次","BottomLayer","R0201","521.654","218.504","90",""
"R84","5.1k次","BottomLayer","R0201","482.284","218.504","90",""
"R83","5.1k次","BottomLayer","R0201","541.339","218.504","270",""
"R82","10k次","TopLayer","R0201","425.197","600.394","270",""
"R81","10k次","TopLayer","R0201","393.701","600.394","270",""
"R80","10k次","TopLayer","R0201","362.205","600.394","270",""
"R79","10k次","TopLayer","R0201","283.465","771.654","180",""
"R78","10k次","TopLayer","R0201","283.465","803.150","180",""
"R77","4.7k次","TopLayer","R0201","393.701","976.378","90",""
"R76","4.7k次","TopLayer","R0201","425.197","976.378","90",""
"R75","4.7k次","TopLayer","R0201","488.189","600.394","270",""
"R74","4.7k次","TopLayer","R0201","519.685","600.394","270",""
"R73","22次","TopLayer","R0201","586.614","263.779","90",""
"R72","22次","TopLayer","R0201","633.858","263.779","90",""
"R71","22次","TopLayer","R0201","413.386","1350.394","270",""
"R70","22次","TopLayer","R0201","413.386","503.937","270",""
"R69","22次","TopLayer","R0201","366.142","503.937","270",""
"R68","22次","TopLayer","R0201","633.858","1110.236","90",""
"R67","22次","TopLayer","R0201","657.480","263.779","90",""
"R66","22次","TopLayer","R0201","681.102","523.622","270",""
"R65","22次","TopLayer","R0201","342.520","1350.394","270",""
"R64","22次","TopLayer","R0201","342.520","503.937","270",""
"R63","22次","TopLayer","R0201","366.142","244.095","90",""
"R62","22次","TopLayer","R0201","681.102","1370.079","270",""
"R61","22次","TopLayer","R0201","610.236","263.779","90",""
"R60","22次","TopLayer","R0201","437.008","1350.394","270",""
"R59","22次","TopLayer","R0201","389.764","1350.394","270",""
"R58","22次","TopLayer","R0201","389.764","503.937","270",""
"R57","22次","TopLayer","R0201","610.236","1110.236","90",""
"R56","22次","TopLayer","R0201","657.480","1110.236","90",""
"R55","22次","TopLayer","R0201","681.102","263.779","90",""
"R54","22次","TopLayer","R0201","366.142","1350.394","270",""
"R53","22次","TopLayer","R0201","342.520","1090.551","90",""
"R52","22次","TopLayer","R0201","342.520","244.095","90",""
"R51","22次","TopLayer","R0201","681.102","1110.236","90",""
"R50","22次","TopLayer","R0201","657.480","1370.079","270",""
"R49","4.7k次","BottomLayer","R0201","748.032","295.276","180",""
"R48","47k次","BottomLayer","R0201","748.032","324.803","0",""
"R47","4.7k次","BottomLayer","R0201","275.591","1318.898","0",""
"R46","47k次","BottomLayer","R0201","275.591","1289.370","180",""
"R45","4.7k次","BottomLayer","R0201","275.591","472.441","0",""
"R44","47k次","BottomLayer","R0201","275.591","442.913","180",""
"R43","4.7k次","BottomLayer","R0201","748.032","1141.732","180",""
"R42","47k次","BottomLayer","R0201","748.032","1171.260","0",""
"R41","4.7k次","BottomLayer","R0201","748.032","442.913","180",""
"R40","47k次","BottomLayer","R0201","748.032","413.386","0",""
"R39","4.7k次","BottomLayer","R0201","275.591","1171.260","0",""
"R38","47k次","BottomLayer","R0201","275.591","1200.787","180",""
"R37","4.7k次","BottomLayer","R0201","275.591","324.803","0",""
"R36","47k次","BottomLayer","R0201","275.591","354.331","180",""
"R35","4.7k次","BottomLayer","R0201","748.032","1289.370","180",""
"R34","47k次","BottomLayer","R0201","748.032","1259.842","0",""
"R33","4.7k次","BottomLayer","R0201","633.858","263.779","90",""
